Permalink,title,description,visual_first_3_seconds,background_music_type_first_3_seconds,published_time_ist,seven_day_views,year,quarter,target,Primary_Category_1_grouped,Video_Type_1_1_final,Video_Type_2_final,voice_first_3_seconds_grouped,thumbnail_1_grouped,thumbnail_sentiment_1_grouped,Secondary_Category_1_new,Secondary_Category_2_new,time_distribution,date
https://www.facebook.com/1954072204870360/posts/2343108625966714/,'kamali' selected for oscars,9 साल की kamali moorthy पर बनी short film हुई oscar awards के लिए shortlist,commoner (np),relevant,2019-05-15 12:00:00,7477,2019,2,average,entertainment,inspiring,rare,text only(to),commoner,happy,rare,rare,12 PM - 03 PM,2019-05-15
https://www.facebook.com/1954072204870360/posts/2493154734295435/,what is sabarimala temple issue?,क्यों है सबरीमाला मंदिर में महिलाओं के प्रवेश पर विवाद?,commoner (np),no music,2019-11-14 20:35:00,4863,2019,4,average,judiciary & crime,controversial,rare,commoner voice(optv),rare,neutral,rare,rare,6 PM - 9 PM,2019-11-14
https://www.facebook.com/1954072204870360/posts/2549805008630407/,india's external affairs minister s jaishankar's birthday,"विदेश में देश का नाम बढ़ाने वाले एस जयशंकर का आज है जन्मदिन

ministry of external affairs, government of india",famous personality (fp),no music,2020-01-09 14:17:53,29582,2020,1,high,politics,day-specific,profile,voice of famous personality(fpv),famous personality,happy,famous personality,no_secondary_category,12 PM - 03 PM,2020-01-09
https://www.facebook.com/1954072204870360/posts/2549770155300559/,viral - owner makes his dog wear helmet in chennai,ट्रैफिक पुलिस का खौफ इतना की कुत्ते को पहना दिया हेलमेट!,other,relevant,2020-01-09 18:00:00,25885,2020,1,high,rare,emotions,rare,text only(to),rare,neutral,rare,person specific,6 PM - 9 PM,2020-01-09
https://www.facebook.com/1954072204870360/posts/2567158553561719/,this kollywood actor does social service by daily distributing food amongst the poor,पर्दे का खलनायक जो रोज मिटाता है 100 लोगों की भूख,famous personality (fp),neutral,2020-01-28 12:50:52,159562,2020,1,high,lifestyle,inspiring,rare,text only(to),famous personality,neutral,rare,famous personality,12 PM - 03 PM,2020-01-28
https://www.facebook.com/1954072204870360/posts/2548838832060358/,the process of executing death sentence,कैसे दी जाएगी निर्भया के दोषियों को फांसी?,other,neutral,2020-01-08 17:00:00,30150,2020,1,high,judiciary & crime,informative,rare,text only(to),other,neutral,rare,rare,3 PM - 6 PM,2020-01-08
https://www.facebook.com/1954072204870360/posts/2549703905307184/,rahul dravid - the wall turns 47,"टीम इंडिया की वॉल का आज है बर्थडे

rahul dravid",famous personality (fp),relevant,2020-01-11 09:00:00,44101,2020,1,high,sports & games,day-specific,profile,voice of famous personality(fpv),famous personality,happy,cricket,famous personality,6 AM - 9 AM,2020-01-11
https://www.facebook.com/1954072204870360/posts/2548809705396604/,deepika padukone attends jnu students protest against campus attack,"jnu जाने पर क्यों troll हुईं deepika padukone?

(via फिल्मी newj)",famous personality (fp),low,2020-01-08 15:00:07,26665,2020,1,high,politics,controversial,rare,commoner voice(optv),famous personality,neutral,rare,famous personality,3 PM - 6 PM,2020-01-08
https://www.facebook.com/1954072204870360/posts/2548956662048575/,9-judge bench to hear sabrimala matter,महिलाओं के मामले में होगी कौन सी सुप्रीम सुनवाई?,commoner (np),neutral,2020-01-08 20:30:04,3648,2020,1,low,judiciary & crime,informative,controversial,text only(to),rare,neutral,rare,rare,6 PM - 9 PM,2020-01-08
https://www.facebook.com/1954072204870360/posts/2547970535480521/,nirbhaya case - all 4 convicts to be hanged on 22nd january,"22 जनवरी को फांसी के फंदे पर लटकेंगे निर्भया के दोषी

#nirbhayaverdict",commoner (np),no music,2020-01-07 18:30:04,66249,2020,1,high,judiciary & crime,informative,rare,commoner voice(optv),commoner,happy,rare,rare,6 PM - 9 PM,2020-01-07
https://www.facebook.com/1954072204870360/posts/2547882218822686/,baby pragya medha's mesmerizing soulful duet with her mom,"इस बार लिटिल लता दी ने गाया कौन सा गाना?

jubin nautiyal",commoner (np),no music,2020-01-08 12:00:00,48085,2020,1,high,entertainment,rare,rare,commoner voice(optv),commoner,happy,rare,rare,12 PM - 03 PM,2020-01-08
https://www.facebook.com/1954072204870360/posts/2549937911950450/,air conditioners to be set at default temperature,"अब से एसी में 24 डिग्री पर सेट रहेगा तापमान, जानिए सरकार ने क्यों उठाया ये कदम

bureau of energy efficiency ministry of environment, forest & climate change, government of india",other,neutral,2020-01-10 17:00:00,3197,2020,1,low,government,informative,rare,text only(to),object,neutral,rare,no_secondary_category,3 PM - 6 PM,2020-01-10
https://www.facebook.com/1954072204870360/posts/2548981535379421/,travel in tejas express and get your house insured,"घर में चोरी होने पर क्यों मुआवजा देगी आईआरसीटीसी?

ministry of railways, government of india",commoner (np),relevant,2020-01-09 12:00:00,11533,2020,1,average,government,informative,rare,commoner voice(optv),commoner,happy,rare,no_secondary_category,12 PM - 03 PM,2020-01-09
